KO1	KO2	KO3	KO4	KO5	KO6	WT1	WT2	WT3	WT4	WT5	WT6
ENSMUSG00000000817.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000823.16	66	59	30	102	82	69	67	73	76	55	117	95
ENSMUSG00000000826.16	997	984	942	1031	1370	1142	763	1704	973	1127	1747	1058
ENSMUSG00000000827.18	2622	2139	1908	2062	3333	2101	2182	3072	1671	2089	2550	1999
ENSMUSG00000000838.17	6230	3900	3664	5461	9947	6741	6859	5706	2940	4811	6346	5587
ENSMUSG00000000861.15	413	490	556	312	504	410	243	409	264	368	599	442
ENSMUSG00000000869.12	42	50	76	17	65	32	32	30	7	41	29	27
ENSMUSG00000000876.11	163	189	231	167	178	134	69	298	123	168	215	171
ENSMUSG00000000881.12	332	277	289	339	593	422	238	488	227	364	447	409
ENSMUSG00000000884.16	219	126	135	156	209	141	132	257	108	125	211	153
ENSMUSG00000000889.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000901.16	44	33	35	23	15	45	18	31	35	22	39	22
ENSMUSG00000000902.13	893	1502	1546	852	1113	824	550	1633	996	1311	1664	1032
ENSMUSG00000000903.3	0	0	3	0	0	0	0	0	0	0	0	0
ENSMUSG00000000915.15	647	748	658	827	1122	898	491	1093	583	925	1115	855
ENSMUSG00000000916.15	43	95	84	59	46	15	26	98	34	86	79	56
ENSMUSG00000000934.8	35	50	38	50	68	29	13	35	25	21	56	25
ENSMUSG00000000938.11	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000000942.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000948.16	238	78	26	218	339	260	303	250	68	113	100	138
ENSMUSG00000000957.11	384	467	402	275	327	313	195	659	366	374	394	367
ENSMUSG00000000958.10	8	18	3	12	15	4	2	12	10	4	11	14
ENSMUSG00000000959.7	441	610	600	426	542	404	271	783	475	531	785	388
ENSMUSG00000000976.13	76	178	152	70	150	136	77	245	119	134	200	147
ENSMUSG00000000982.5	0	0	0	0	0	0	2	0	4	0	1	4
ENSMUSG00000000983.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001014.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001016.12	4653	5158	5459	4656	6642	4555	4439	7265	3835	5509	6679	4469
ENSMUSG00000001017.15	2439	2205	2003	1951	2623	2072	2524	3410	1699	2438	2913	1833
ENSMUSG00000001018.15	236	300	260	217	278	262	143	366	240	314	375	254
ENSMUSG00000001020.8	7	2	0	0	2	0	2	2	1	1	0	0
ENSMUSG00000001021.12	0	0	0	1	3	0	0	0	0	0	0	0
ENSMUSG00000001023.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001025.8	101	120	81	80	109	76	101	183	75	115	139	86
ENSMUSG00000001027.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001029.15	91	64	45	65	70	38	52	100	26	77	88	47
ENSMUSG00000001034.17	490	664	926	518	678	675	348	1100	616	666	905	657
ENSMUSG00000001036.17	490	544	579	535	834	587	360	942	497	672	841	607
ENSMUSG00000001039.12	839	840	937	590	976	557	593	1005	640	706	812	654
ENSMUSG00000001052.15	381	349	372	397	662	479	378	496	237	432	490	403
ENSMUSG00000001053.15	266	402	445	286	470	326	171	551	286	374	530	417
ENSMUSG00000001054.9	225	346	292	180	257	173	102	443	248	342	375	231
ENSMUSG00000001056.3	2165	3180	2812	2401	3055	1716	1552	3687	2205	2704	3317	2264
ENSMUSG00000001062.18	156	183	201	145	202	188	124	290	117	209	263	197
ENSMUSG00000001065.15	88	87	72	68	66	53	51	106	59	101	164	84
ENSMUSG00000001076.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001082.12	115	174	211	91	167	127	100	229	163	133	173	145
ENSMUSG00000001089.14	252	222	239	177	234	219	195	298	162	269	234	254
ENSMUSG00000001095.5	0	1	0	0	7	0	0	0	0	0	3	0
ENSMUSG00000001098.15	167	253	169	181	189	169	115	356	144	250	355	186
ENSMUSG00000001100.10	1722	1896	1859	1919	2792	1763	1243	2715	1594	2078	2494	1925
ENSMUSG00000001103.7	8	6	8	5	3	9	0	20	6	11	7	12
