KO1	KO2	KO3	KO4	KO5	KO6	WT1	WT2	WT3	WT4	WT5	WT6
ENSMUSG00000073557.11	91	100	97	88	124	94	55	177	82	105	133	103
ENSMUSG00000073559.2	1	3	2	3	12	3	6	4	6	5	4	5
ENSMUSG00000073563.2	1009	753	654	873	1358	1066	923	1149	498	878	975	812
ENSMUSG00000073565.4	0	9	3	7	11	4	2	9	0	9	6	2
ENSMUSG00000073568.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073569.1	1	0	0	0	2	1	0	1	0	2	1	0
ENSMUSG00000073572.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073573.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073574.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073590.3	44	41	16	41	58	21	51	58	18	40	29	30
ENSMUSG00000073591.4	138	99	113	136	248	134	117	159	74	108	152	126
ENSMUSG00000073594.3	15	8	29	19	57	32	34	12	11	10	21	22
ENSMUSG00000073598.3	1	0	0	0	3	0	4	2	0	0	0	0
ENSMUSG00000073599.9	93	68	25	44	69	33	103	145	30	71	59	82
ENSMUSG00000073600.3	9	11	2	7	2	0	4	13	0	6	6	13
ENSMUSG00000073601.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073602.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073607.2	3	13	4	2	1	12	2	10	17	7	8	6
ENSMUSG00000073608.4	1	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073609.9	34	34	64	39	57	47	24	68	34	66	79	38
ENSMUSG00000073610.3	0	0	0	2	0	2	1	0	0	4	0	0
ENSMUSG00000073616.10	3255	4159	3883	3857	5732	2998	2757	5142	2653	4164	5144	3503
ENSMUSG00000073627.7	15	51	15	37	50	37	19	44	23	44	71	26
ENSMUSG00000073628.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073631.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073633.9	15	8	23	30	3	5	7	22	3	14	27	7
ENSMUSG00000073639.5	3705	3545	2724	3782	5719	4046	3270	4805	2171	3774	4810	3841
ENSMUSG00000073640.2	1	3	4	0	1	0	0	0	0	0	0	0
ENSMUSG00000073643.11	97	85	64	66	126	74	414	66	31	67	63	79
ENSMUSG00000073647.3	3	2	0	3	3	8	0	7	0	0	1	5
ENSMUSG00000073650.8	0	0	0	0	0	0	1	6	0	0	0	1
ENSMUSG00000073652.10	12	11	35	25	19	8	11	12	3	8	8	9
ENSMUSG00000073656.4	129	82	67	53	128	103	68	66	31	58	64	43
ENSMUSG00000073658.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073664.11	305	175	172	258	428	325	385	274	116	198	167	197
ENSMUSG00000073676.4	1102	1112	835	948	1253	789	913	1471	738	941	1320	862
ENSMUSG00000073678.4	1189	566	670	823	1639	1252	1364	1126	499	812	813	854
ENSMUSG00000073679.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073680.2	0	2	3	4	1	0	1	6	1	4	4	0
ENSMUSG00000073682.3	0	0	3	0	0	0	0	0	0	0	0	0
ENSMUSG00000073684.13	363	606	628	383	503	322	224	863	509	680	789	458
ENSMUSG00000073686.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073699.3	12	8	11	2	20	13	8	2	0	5	7	4
ENSMUSG00000073700.3	53	61	43	67	66	33	24	79	43	56	57	52
ENSMUSG00000073702.11	189	262	234	168	225	173	148	300	162	241	243	158
ENSMUSG00000073705.10	587	593	608	505	717	477	393	852	427	504	697	461
ENSMUSG00000073716.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073721.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073722.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073723.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073724.12	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073725.8	457	408	392	287	587	396	444	472	282	349	452	463
ENSMUSG00000073728.10	0	0	0	0	0	1	1	0	1	1	0	0
ENSMUSG00000073730.2	0	0	0	2	5	2	0	1	2	1	0	0
ENSMUSG00000073731.12	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073733.4	12	18	18	16	19	8	12	11	4	18	37	26
ENSMUSG00000073735.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073737.3	0	0	4	1	1	0	3	2	0	0	2	0
ENSMUSG00000073739.3	0	0	0	0	2	5	0	0	0	0	0	0
ENSMUSG00000073747.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073752.1	0	0	0	0	2	0	0	0	0	0	0	0
ENSMUSG00000073753.4	0	0	0	0	2	0	0	0	0	0	1	0
ENSMUSG00000073755.4	20	25	32	23	55	35	14	36	18	8	32	7
ENSMUSG00000073758.10	8	5	0	5	13	3	1	5	2	4	8	2
ENSMUSG00000073759.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073761.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073764.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073765.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073768.3	2	0	3	0	0	0	0	0	0	2	0	0
ENSMUSG00000073769.4	0	0	0	0	0	0	2	0	0	0	0	0
ENSMUSG00000073771.11	13	28	29	47	28	13	23	39	50	24	53	27
ENSMUSG00000073774.2	0	0	2	0	0	0	0	0	0	0	0	0
ENSMUSG00000073775.4	374	413	365	273	418	351	197	388	301	418	353	355
ENSMUSG00000073778.2	0	0	0	1	1	1	0	1	0	0	1	0
ENSMUSG00000073779.7	0	0	3	2	0	0	2	3	0	1	2	0
ENSMUSG00000073781.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073785.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073786.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073787.4	0	1	0	2	2	0	0	4	1	2	5	0
ENSMUSG00000073789.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073791.11	104	65	80	79	197	130	393	157	158	115	115	130
ENSMUSG00000073792.11	147	91	109	89	175	141	143	180	89	124	143	130
ENSMUSG00000073794.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073795.11	1	1	0	0	0	5	0	0	1	2	1	0
ENSMUSG00000073797.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073802.4	21	24	19	19	25	12	4	20	45	12	15	10
ENSMUSG00000073803.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073804.5	0	0	0	0	0	0	1	0	0	0	4	0
ENSMUSG00000073805.5	21	13	5	7	15	21	7	33	10	14	16	7
ENSMUSG00000073807.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073809.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073811.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073821.11	0	0	0	0	0	0	0	0	0	0	2	0
ENSMUSG00000073830.11	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073834.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073835.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073838.10	47	66	109	82	78	52	23	141	67	68	129	72
ENSMUSG00000073840.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073842.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073843.3	0	0	0	2	0	0	0	0	0	0	0	0
ENSMUSG00000073844.5	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000073846.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073856.11	3	5	6	10	5	4	7	4	17	5	2	5
ENSMUSG00000073860.12	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073862.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073867.2	43	12	31	35	45	51	43	25	23	32	48	32
ENSMUSG00000073876.3	2	0	0	0	0	1	1	2	0	2	0	0
ENSMUSG00000073877.10	0	0	0	0	0	5	2	0	0	1	0	0
ENSMUSG00000073878.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073879.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073888.13	210	281	283	250	319	232	149	316	171	276	324	245
ENSMUSG00000073889.10	906	755	545	836	1241	707	777	1056	640	754	1018	742
ENSMUSG00000073893.6	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000073894.1	0	0	5	0	0	0	0	0	0	0	0	0
ENSMUSG00000073896.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073897.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073898.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073899.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073900.5	0	0	0	0	0	0	0	0	3	0	0	0
ENSMUSG00000073901.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073902.5	0	0	0	0	3	0	1	0	0	0	0	0
ENSMUSG00000073906.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073907.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073908.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073909.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073910.10	43	8	9	45	50	14	21	37	18	15	13	23
ENSMUSG00000073913.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073914.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073915.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073916.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073917.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073920.4	1	4	0	0	1	0	0	1	0	2	1	0
ENSMUSG00000073922.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073923.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073924.5	0	0	0	0	0	0	0	0	0	3	0	0
ENSMUSG00000073925.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073926.4	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000073927.6	3	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000073928.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073929.12	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073931.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073932.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073937.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073938.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073940.3	893	928	352	785	1315	637	1064	1715	468	1195	1240	751
ENSMUSG00000073943.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073944.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073945.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073946.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073947.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073948.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073949.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073950.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073951.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073952.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073953.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073954.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073955.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073956.3	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000073959.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073960.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073961.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073962.9	0	0	0	0	0	0	0	0	3	0	0	0
ENSMUSG00000073963.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073964.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073965.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073966.3	0	0	0	2	0	0	0	0	0	0	0	0
ENSMUSG00000073967.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073968.4	32	27	10	4	31	10	13	16	6	11	18	23
ENSMUSG00000073969.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073970.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073971.3	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000073972.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073973.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073974.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073975.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073976.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073977.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073978.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073979.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073980.5	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000073982.11	43	62	42	53	36	41	13	84	67	51	93	64
ENSMUSG00000073985.2	0	2	0	9	0	1	2	5	0	2	2	0
ENSMUSG00000073987.4	1586	1398	1051	1514	2144	1539	1718	1921	960	1674	2021	1517
ENSMUSG00000073988.13	35	22	17	25	31	37	42	39	18	24	45	29
ENSMUSG00000073991.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073995.2	0	1	0	2	3	3	0	0	0	0	2	0
ENSMUSG00000073997.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073998.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074001.3	27	39	47	29	67	27	34	59	41	39	59	35
ENSMUSG00000074003.4	0	0	0	0	2	0	0	4	0	0	0	0
ENSMUSG00000074004.3	0	0	0	0	2	0	0	0	0	0	0	0
ENSMUSG00000074006.3	2	0	0	0	2	0	0	0	0	0	6	4
ENSMUSG00000074011.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074024.5	51	59	74	72	71	63	69	51	54	92	111	60
ENSMUSG00000074026.3	0	2	0	0	1	1	0	2	1	1	1	0
ENSMUSG00000074028.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074029.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074030.3	224	242	139	234	294	307	264	306	189	250	324	215
ENSMUSG00000074034.1	8	7	3	9	1	4	4	10	4	5	8	2
ENSMUSG00000074037.3	4	0	0	0	3	5	0	6	1	1	0	2
ENSMUSG00000074039.10	41	29	24	45	58	19	25	41	26	37	51	31
ENSMUSG00000074052.7	0	3	0	1	0	8	2	6	0	3	5	0
ENSMUSG00000074059.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074060.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074061.4	0	0	0	0	0	3	0	0	0	0	0	0
ENSMUSG00000074062.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074063.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074064.6	280	374	327	383	411	314	240	518	278	359	444	335
ENSMUSG00000074065.4	0	6	0	0	0	0	1	1	0	5	0	0
ENSMUSG00000074067.9	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000074071.11	2	7	4	1	8	0	6	11	1	1	6	6
ENSMUSG00000074072.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074088.6	2221	3317	3423	2193	2924	2094	1425	3919	2257	2770	3506	2353
ENSMUSG00000074092.5	0	0	0	0	0	2	0	2	0	0	5	0
ENSMUSG00000074093.4	827	469	361	610	1243	914	975	780	346	521	745	553
ENSMUSG00000074102.4	1592	1607	1261	1550	2038	1560	1136	2575	1370	1577	2062	1624
ENSMUSG00000074108.1	0	2	2	0	0	1	3	1	0	1	0	0
ENSMUSG00000074109.4	1	0	1	0	2	1	0	0	0	0	0	0
ENSMUSG00000074111.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074113.4	0	1	0	0	0	0	0	0	0	1	2	11
ENSMUSG00000074115.5	1	0	0	0	0	0	2	0	0	2	4	0
ENSMUSG00000074121.3	0	2	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074123.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074127.6	0	0	0	0	0	0	2	0	0	0	0	0
ENSMUSG00000074128.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074129.13	3358	3042	2258	3591	5860	3068	3031	4223	2262	2965	4013	3054
ENSMUSG00000074136.9	3	19	21	10	7	13	1	4	6	7	7	0
ENSMUSG00000074139.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074141.13	0	0	3	11	0	5	2	3	0	0	0	4
ENSMUSG00000074146.9	0	0	0	0	0	0	0	0	0	0	2	0
ENSMUSG00000074149.9	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074151.13	4	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000074155.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074156.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074158.9	15	9	9	1	17	8	11	9	6	5	7	2
ENSMUSG00000074164.12	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074165.10	348	216	218	327	542	436	371	426	171	327	443	303
ENSMUSG00000074166.7	59	50	28	45	31	42	52	50	28	50	76	62
ENSMUSG00000074170.5	14	26	0	30	20	22	11	37	21	14	19	10
ENSMUSG00000074171.2	4	14	2	15	4	6	9	20	5	13	10	17
ENSMUSG00000074178.2	16	20	1	30	36	34	22	40	32	26	14	9
ENSMUSG00000074179.11	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074182.8	210	169	129	131	167	115	155	230	143	126	206	127
ENSMUSG00000074183.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074184.5	3	1	0	0	1	1	2	0	0	2	1	1
ENSMUSG00000074194.4	9	30	13	14	17	7	5	27	6	24	38	8
ENSMUSG00000074195.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074196.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074199.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074203.4	1	2	0	0	0	2	3	4	1	2	0	3
ENSMUSG00000074206.7	0	0	0	0	0	0	0	0	0	3	2	0
ENSMUSG00000074207.10	17	17	6	7	6	3	12	9	2	16	3	21
ENSMUSG00000074210.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074211.4	363	353	349	334	592	315	269	475	215	376	467	326
ENSMUSG00000074212.7	270	211	231	186	307	229	240	260	140	190	331	176
ENSMUSG00000074213.2	2	10	20	8	12	15	3	7	1	15	21	10
ENSMUSG00000074215.2	25	41	16	8	9	3	18	38	13	8	41	19
ENSMUSG00000074217.8	0	0	0	0	0	0	2	1	0	0	1	0
ENSMUSG00000074218.3	3	15	6	18	8	10	16	12	14	4	35	5
ENSMUSG00000074219.2	1	1	0	3	0	0	0	5	3	7	3	2
ENSMUSG00000074220.10	20	15	19	25	32	26	8	34	30	33	20	12
ENSMUSG00000074221.12	103	108	68	100	169	150	86	166	103	137	219	111
ENSMUSG00000074224.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074227.12	90	165	159	158	123	96	72	177	144	157	213	102
ENSMUSG00000074228.2	0	0	0	0	3	0	2	1	0	0	0	3
ENSMUSG00000074232.2	0	0	0	0	0	0	4	0	0	0	0	0
ENSMUSG00000074235.4	0	2	2	0	0	0	0	0	0	0	0	0
ENSMUSG00000074236.3	5	0	0	6	1	4	4	5	0	2	4	1
ENSMUSG00000074237.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074238.6	778	982	689	867	1309	821	725	1098	581	909	1115	675
ENSMUSG00000074240.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074243.4	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074247.10	907	1280	1172	1000	1331	1030	560	1825	922	1314	1621	1045
ENSMUSG00000074248.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074250.11	0	2	2	1	7	0	1	6	3	4	1	2
ENSMUSG00000074252.2	2	1	18	0	4	7	2	0	15	1	7	2
ENSMUSG00000074254.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074256.3	7	15	4	0	0	0	0	6	2	0	0	0
ENSMUSG00000074259.10	1	0	0	0	6	2	1	1	3	0	1	3
ENSMUSG00000074261.2	0	0	0	0	0	0	0	2	0	0	0	0
ENSMUSG00000074264.12	4	7	4	3	1	7	7	7	2	11	3	2
ENSMUSG00000074268.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074269.10	0	2	0	5	0	0	0	0	0	0	0	2
ENSMUSG00000074272.10	5	0	0	0	0	0	0	0	0	0	2	0
ENSMUSG00000074274.7	1	0	0	3	0	4	0	7	1	7	3	0
ENSMUSG00000074277.4	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000074280.6	25	43	35	30	39	25	33	78	29	31	61	41
ENSMUSG00000074281.3	13	0	8	5	10	8	1	2	6	5	4	11
ENSMUSG00000074282.10	108	102	82	118	160	95	78	155	104	121	146	105
ENSMUSG00000074283.5	6	5	2	2	1	7	3	19	3	11	12	2
ENSMUSG00000074284.6	11	20	1	8	27	10	17	16	11	9	19	15
ENSMUSG00000074291.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074292.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074300.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074302.1	0	0	0	0	0	2	0	0	0	0	0	0
ENSMUSG00000074305.9	35	40	21	37	40	37	22	74	33	35	58	66
ENSMUSG00000074311.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074322.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074336.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074340.9	6	2	4	8	9	0	12	16	3	1	7	2
ENSMUSG00000074342.3	5	8	2	5	6	3	0	11	0	2	0	3
ENSMUSG00000074343.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074344.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074345.4	5	7	10	14	10	13	18	37	19	21	20	19
ENSMUSG00000074346.6	9	5	11	1	9	7	6	12	10	5	4	10
ENSMUSG00000074354.11	0	0	8	0	0	0	0	0	2	2	0	2
ENSMUSG00000074355.2	1	0	2	0	0	1	0	0	4	0	2	0
ENSMUSG00000074357.3	2	0	0	0	8	2	1	2	10	3	3	3
ENSMUSG00000074358.9	184	224	182	114	191	145	84	276	152	169	206	194
ENSMUSG00000074359.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074361.10	1	0	0	3	0	0	0	0	0	0	1	5
ENSMUSG00000074364.6	82	106	48	68	70	72	70	58	65	65	88	99
ENSMUSG00000074365.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074366.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074369.12	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074373.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074375.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074377.12	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074378.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074384.4	24	26	17	29	40	12	34	26	10	44	40	24
ENSMUSG00000074385.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074388.3	0	0	2	0	5	0	0	1	0	2	1	0
ENSMUSG00000074397.4	0	3	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074398.5	8	7	6	4	5	6	6	4	6	10	25	2
ENSMUSG00000074401.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074402.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074403.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074404.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074405.7	76	134	142	62	114	83	33	197	93	125	161	102
ENSMUSG00000074406.5	78	164	143	101	107	83	51	209	163	137	149	97
ENSMUSG00000074412.4	0	3	4	4	10	0	1	4	1	3	5	3
ENSMUSG00000074415.12	49	46	32	44	66	34	98	34	23	36	29	33
ENSMUSG00000074417.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074418.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074419.11	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074420.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074424.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074433.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074434.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074435.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074436.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074437.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074439.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074440.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074441.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074442.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074443.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074444.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074445.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074446.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074447.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074448.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074449.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074452.13	22	12	21	22	9	15	13	15	12	7	20	11
ENSMUSG00000074454.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074457.10	512	596	466	626	795	463	393	1026	439	679	840	603
ENSMUSG00000074461.2	120	84	83	89	195	84	108	149	52	117	142	82
ENSMUSG00000074465.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074466.12	21	36	43	39	34	26	14	13	29	22	23	24
ENSMUSG00000074467.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074469.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074472.10	3	2	8	6	25	5	10	3	3	10	11	1
ENSMUSG00000074473.1	0	0	0	0	0	0	0	0	0	0	0	0
