SNL27	SNL45	SHAM24	SHAM35
1:127322177-127322602|Mgat5|P	35	43	23	12
1:127343729-127346299|Mgat5|P	185	292	249	203
1:127347709-127349347|Mgat5|P	101	129	103	79
1:127359974-127360397|Mgat5|P	31	45	24	17
1:127424267-127424858|Tmem163|P	21	69	74	68
1:127469355-127470213|Tmem163|P	53	76	39	24
1:127536567-127537190|Tmem163|P	39	46	53	27
1:127589294-127589763|Tmem163|P	8	68	24	36
1:127594781-127595817|Tmem163|P	24	101	50	66
1:127596378-127596841|Tmem163|P	39	60	22	31
1:127596967-127597799|Tmem163|P	65	106	68	40
1:127597951-127598744|Tmem163|P	34	16	46	18
1:127676650-127676977|Tmem163|P	34	33	7	51
1:127677266-127678564|Tmem163|P	135	182	181	169
1:127772728-127773515|2900009J06Rik|P	22	69	57	49
1:127776341-127777022|Ccnt2|P	61	43	30	55
1:127779683-127780017|Ccnt2|P	25	39	16	15
1:127780852-127781929|Ccnt2|P	78	86	105	55
1:127782527-127783150|Ccnt2|P	35	63	44	23
1:127783920-127784208|Ccnt2|P	23	30	39	21
1:127796668-127797180|Ccnt2|P	60	84	38	46
1:127799376-127799730|Ccnt2|P	16	52	31	9
1:127855092-127855626|Map3k19|P	41	97	54	18
1:127871709-127872006|Rab3gap1|P	5	30	33	10
1:127990270-127990684|Zranb3|P	17	69	15	56
1:128004217-128005289|Zranb3|P	76	97	64	41
1:128006089-128006558|Zranb3|P	32	63	28	19
1:128128686-128128932|R3hdm1|P	23	17	25	26
1:128244908-128245508|Ubxn4|P	49	50	32	38
1:128314716-128315076|Lct|P	18	40	25	20
1:12835630-12836328|Sulf1|P	59	88	78	46
1:128472178-128473028|Dars|P	38	55	70	37
1:128590800-128591972|Cxcr4|P	100	101	109	73
1:128592566-128593528|Cxcr4|P	62	108	76	51
1:128614295-128615172|Cxcr4|P	52	86	83	30
1:128615498-128615936|Cxcr4|P	18	49	51	10
1:12865018-12865614|Sulf1|P	16	51	38	26
1:128712602-128713222|Cxcr4|P	74	86	29	58
1:128721828-128722224|Cxcr4|P	35	43	25	1
1:12990231-12991169|Slco5a1|P	65	179	169	122
1:130462226-130463062|Cd55|P	35	126	98	39
1:130549309-130551500|Zp3r|P	90	217	119	122
1:130820427-130821137|Pigr|P	43	86	58	50
1:130878087-130878552|Fcmr|P	83	81	63	103
1:131019053-131019460|Il10|P	32	38	15	8
1:131046496-131046767|Mapkapk2|P	17	32	29	5
1:131050937-131051452|Mapkapk2|P	36	22	30	2
1:131051507-131053325|Mapkapk2|P	176	239	156	146
1:131057700-131058305|Mapkapk2|P	37	3	66	76
1:131059068-131060378|Mapkapk2|P	133	164	140	101
1:131060601-131061313|Mapkapk2|P	60	46	54	44
1:131062009-131063892|Mapkapk2|P	182	295	210	174
1:131066399-131066740|Mapkapk2|P	34	46	27	29
1:131066828-131067654|Mapkapk2|P	67	81	78	28
1:131067745-131069342|Mapkapk2|P	94	148	103	80
1:131071398-131072069|Mapkapk2|P	79	63	47	50
1:131072343-131072949|Mapkapk2|P	47	57	22	37
1:131073300-131076022|Mapkapk2|P	158	288	216	212
1:131076286-131076727|Mapkapk2|P	49	17	46	24
1:131077959-131078401|Mapkapk2|P	27	32	23	52
1:131078808-131079590|Mapkapk2|P	82	79	65	60
1:131079909-131081403|Mapkapk2|P	77	170	89	91
1:131081524-131082606|Mapkapk2|P	125	221	127	75
1:131082849-131083312|Mapkapk2|P	46	50	51	46
1:131083512-131084128|Mapkapk2|P	59	84	65	62
1:131084376-131085575|Mapkapk2|P	129	124	140	104
1:131086144-131087584|Mapkapk2|P	160	139	102	151
1:131087834-131091842|Mapkapk2|P	419	657	394	394
1:131092190-131092860|Mapkapk2|P	39	78	50	100
1:131093749-131093995|Mapkapk2|P	36	32	26	29
1:131095331-131096933|Mapkapk2|P	54	139	171	92
1:131103487-131104349|Mapkapk2|P	40	54	79	64
1:131104584-131105133|Mapkapk2|P	32	113	51	36
1:131111059-131111358|Mapkapk2|P	30	54	38	11
1:131135260-131135554|Dyrk3|P	42	36	13	29
1:131137757-131138128|Dyrk3|P	35	70	29	60
1:131153229-131153984|Eif2d|P	60	51	59	35
1:131172893-131174019|Eif2d|P	61	162	68	92
