SNL27	SNL45	SHAM24	SHAM35
2:75835863-75836444|Agps|P	72	90	48	77
2:75837186-75837655|Agps|P	27	62	42	25
2:75837708-75838544|Agps|P	34	82	52	28
2:75840340-75840823|Agps|P	26	73	56	39
2:75844034-75844682|Agps|P	25	76	51	47
2:75937419-75938383|Ttc30b|P	68	96	62	27
2:75964499-75965057|Ttc30a2|P	48	47	48	56
2:75977273-75978172|Ttc30a2|P	58	95	59	46
2:75980964-75981638|Ttc30a1|P	83	90	55	53
2:76049878-76050479|Pde11a|P	9	124	53	52
2:76065273-76065815|Pde11a|P	40	76	39	1
2:76088231-76089404|Pde11a|P	72	133	52	44
2:76338719-76339270|Pde11a|P	73	89	86	72
2:76370318-76371282|Rbm45|P	100	121	100	58
2:76406189-76407490|Osbpl6|P	118	242	153	113
2:76647021-76647889|Prkra|P	65	104	66	87
2:76676159-76676836|Plekha3|P	48	32	79	61
2:76699663-76699976|Plekha3|P	36	33	17	14
2:77170021-77170560|Ccdc141|P	30	33	56	65
2:77279960-77280424|Sestd1|P	16	90	70	59
2:77454116-77454762|Gm13944|P	9	25	38	44
2:78048720-78049268|4930440I19Rik|P	32	44	57	35
2:78049565-78050206|4930440I19Rik|P	20	49	53	55
2:78870457-78871070|Ube2e3|P	65	73	55	58
2:78905905-78906296|Ube2e3|P	26	44	39	19
2:78922749-78923079|Ube2e3|P	43	29	26	31
2:79131755-79132216|Itga4|P	39	38	33	2
2:79253432-79254034|Itga4|P	41	62	32	10
2:79255013-79256564|Itga4|P	163	244	188	169
2:79428569-79429208|Cerkl|P	50	129	73	88
2:79453902-79454654|Neurod1|P	60	111	71	95
2:79456478-79457131|Neurod1|P	28	59	88	29
2:79458959-79459326|Cerkl|P	23	43	29	28
2:79619118-79619479|Itprid2|P	38	38	6	27
2:79638100-79639107|Itprid2|P	66	63	65	80
2:79647018-79647409|Itprid2|P	31	27	61	30
2:79652316-79653276|Itprid2|P	67	78	44	54
2:79658595-79659767|Itprid2|P	83	124	59	25
2:80446060-80447065|Frzb|P	81	137	142	91
2:80447327-80447829|Frzb|P	40	80	57	55
2:80522995-80523452|Nckap1|P	48	61	66	17
2:80580516-80581684|Nckap1|P	73	210	73	75
2:83705827-83706800|Itgav|P	66	110	59	71
2:83709967-83710484|Itgav|P	41	42	24	19
2:83712203-83712459|Itgav|P	26	30	26	8
2:83714156-83714667|Itgav|P	39	31	21	37
2:83722875-83724030|Itgav|P	46	104	82	32
2:83725475-83726461|Itgav|P	61	73	46	25
2:83728004-83728946|Itgav|P	49	89	68	23
2:83729630-83730401|Itgav|P	82	94	66	44
2:83730837-83731140|Itgav|P	39	36	36	38
2:83732472-83732961|Itgav|P	46	23	39	27
2:83735164-83735538|Itgav|P	25	37	9	30
2:83738525-83739796|Itgav|P	122	101	81	85
2:83740601-83741095|Itgav|P	61	81	52	32
2:83742413-83743393|Itgav|P	71	79	59	59
2:83744381-83745659|Itgav|P	72	207	84	133
2:83752817-83753351|Itgav|P	53	35	49	29
2:83753940-83754772|Itgav|P	73	81	38	37
2:83766585-83767079|Itgav|P	27	50	32	37
2:83812415-83813149|Fam171b|P	43	89	59	46
2:83940802-83941413|Zswim2|P	52	124	74	75
2:84184485-84184988|Calcrl|P	20	54	11	39
2:84521861-84523167|Gm13710|P	71	124	61	50
2:84530745-84531842|Gm13710|P	47	124	62	59
2:84592149-84593640|Ctnnd1|P	117	160	66	62
2:84601021-84602357|Ctnnd1|P	95	166	74	72
2:84618880-84620409|Ctnnd1|P	148	199	84	154
2:84622190-84623802|Ctnnd1|P	111	157	106	64
2:84624066-84624751|Ctnnd1|P	75	105	50	74
2:84626171-84627026|Ctnnd1|P	43	106	73	77
2:84633012-84633294|Ctnnd1|P	30	46	18	8
2:84633879-84634290|Ctnnd1|P	46	38	50	40
2:84634683-84636805|Ctnnd1|P	175	214	170	181
2:84637215-84638477|Ctnnd1|P	102	93	77	81
2:84648433-84648738|Ctnnd1|P	24	35	30	17
2:84669801-84670521|Selenoh|P	1	95	49	51
2:84678576-84679374|Tmx2|P	37	74	30	33
2:84725196-84726892|Clp1|P	128	143	148	121
2:84733750-84734434|Ypel4|P	43	72	74	48
2:84742346-84744455|Mir130a|P	149	218	220	196
2:84811234-84811614|Ube2l6|P	37	56	14	46
2:84819486-84820500|Smtnl1|P	67	107	46	50
2:84826320-84826570|Timm10|P	4	41	27	21
2:84827389-84827917|Timm10|P	44	102	83	55
2:84839250-84839768|Slc43a1|P	92	75	15	74
2:84839870-84841196|Slc43a1|P	94	121	144	138
2:84865662-84866535|Rtn4rl2|P	90	103	100	115
2:84871706-84872734|Rtn4rl2|P	175	233	251	214
2:84882683-84883034|Rtn4rl2|P	25	44	34	4
2:84886233-84887774|Rtn4rl2|P	103	336	265	184
2:84887992-84888432|Rtn4rl2|P	41	76	8	37
2:84888805-84889439|Rtn4rl2|P	52	62	48	37
2:84937090-84937968|Slc43a3|P	58	68	42	35
2:84938307-84938671|Slc43a3|P	14	47	33	23
2:85027229-85027595|P2rx3|P	37	32	16	0
2:85036413-85036875|Ssrp1|P	21	37	39	34
2:85037736-85038619|Ssrp1|P	52	103	64	53
2:85046760-85047465|Tnks1bp1|P	73	84	78	47
2:85048482-85048930|Tnks1bp1|P	41	20	62	60
2:85135872-85136853|Aplnr|P	68	97	47	47
2:85136947-85137904|Aplnr|P	129	124	100	127
2:85138289-85139858|Aplnr|P	95	184	92	72
2:85148590-85149380|Aplnr|P	42	73	23	38
2:85150346-85150825|Aplnr|P	16	35	31	39
2:85155194-85155687|Aplnr|P	65	50	26	26
2:85156350-85157080|Aplnr|P	66	48	64	21
2:85163572-85164217|Aplnr|P	44	42	51	50
2:85191018-85191435|Lrrc55|P	6	51	40	12
2:85191783-85192193|Lrrc55|P	21	59	8	34
2:85194085-85195369|Lrrc55|P	91	131	103	74
2:85196010-85197132|Lrrc55|P	70	100	84	93
2:85198455-85198729|Lrrc55|P	20	48	33	32
2:90474620-90475537|Ptprj|P	72	97	78	70
2:90475927-90477041|Ptprj|P	115	137	83	71
2:90477238-90478270|Ptprj|P	137	233	182	131
2:90478603-90480892|Ptprj|P	161	346	229	151
2:90481150-90481624|Ptprj|P	21	48	44	49
2:90483096-90483586|Ptprj|P	23	70	51	53
2:90483872-90485058|Ptprj|P	173	196	105	101
2:90485390-90487188|Ptprj|P	149	214	193	136
2:90487556-90489548|Ptprj|P	136	240	182	132
2:90489662-90491067|Ptprj|P	156	165	171	67
2:90496101-90497350|Ptprj|P	66	126	124	103
2:90497708-90498297|Ptprj|P	56	91	47	45
2:90498582-90499908|Ptprj|P	49	128	54	60
2:90500713-90501466|Ptprj|P	60	72	56	72
2:90501681-90502519|Ptprj|P	67	119	62	67
2:90503090-90503870|Ptprj|P	77	107	56	71
2:90504071-90504797|Ptprj|P	70	97	63	77
2:90505143-90506968|Ptprj|P	134	162	203	156
2:90509120-90509624|Ptprj|P	57	69	49	24
2:90510500-90511087|Ptprj|P	12	54	37	28
2:90513439-90513959|Ptprj|P	43	52	43	17
2:90514204-90514879|Ptprj|P	51	102	36	48
2:90515100-90516067|Ptprj|P	68	105	63	62
2:90517457-90518181|Ptprj|P	29	56	55	23
2:90520626-90521583|Ptprj|P	17	135	32	34
2:90522348-90522966|Ptprj|P	57	84	31	54
2:90523496-90524558|Ptprj|P	85	120	83	91
2:90525842-90526349|Ptprj|P	14	80	27	49
2:90527983-90528709|Ptprj|P	65	102	40	52
2:90531076-90534276|Ptprj|P	211	226	213	106
2:90534731-90535260|Ptprj|P	42	88	69	31
2:90536576-90536894|Ptprj|P	37	32	17	36
2:90537166-90538285|Ptprj|P	74	136	89	83
2:90538553-90539808|Ptprj|P	126	139	75	68
2:90541432-90546830|Ptprj|P	415	613	338	334
2:90546932-90547685|Ptprj|P	57	78	70	36
2:90548631-90549870|Ptprj|P	114	199	98	124
2:90550452-90551129|Ptprj|P	38	97	57	45
2:90553538-90554602|Ptprj|P	70	117	74	73
2:90554609-90555364|Ptprj|P	41	71	34	39
2:90555550-90557177|Ptprj|P	125	186	119	139
2:90557785-90559021|Ptprj|P	87	133	72	110
2:90559712-90561747|Ptprj|P	143	209	202	132
2:90561962-90562923|Ptprj|P	77	144	91	107
2:90563612-90564312|Ptprj|P	65	39	26	69
2:90565285-90567577|Ptprj|P	185	279	253	182
2:90568946-90569515|Ptprj|P	75	85	39	69
2:90570261-90570798|Ptprj|P	51	60	33	43
2:90572207-90572998|Ptprj|P	68	86	71	53
2:90575075-90576763|Ptprj|P	100	186	123	92
2:90580685-90581419|Ptprj|P	44	121	35	27
2:90631896-90632323|Nup160|P	49	72	41	71
2:90635194-90635677|Nup160|P	44	43	32	29
2:90641190-90641969|Nup160|P	67	96	83	91
2:90649278-90649647|Nup160|P	43	28	33	16
2:90650164-90650596|Nup160|P	49	38	3	13
2:90667462-90668186|Nup160|P	42	53	36	54
2:90679627-90680197|Nup160|P	60	105	99	45
2:90744405-90744738|Fnbp4|P	15	10	33	46
2:90749632-90750288|Fnbp4|P	52	78	73	28
2:90782758-90783626|Agbl2|P	47	115	81	65
2:90810707-90811191|Agbl2|P	33	73	36	20
2:90846278-90846762|Mtch2|P	18	51	42	27
2:90885390-90886187|C1qtnf4|P	123	154	176	153
2:90889348-90890645|C1qtnf4|P	93	210	161	183
2:90902292-90903904|Ndufs3|P	54	157	94	54
2:90905019-90906267|Kbtbd4|P	57	100	123	84
2:90942545-90943175|Celf1|P	45	73	47	66
2:90950399-90951097|Celf1|P	61	110	92	111
2:90964538-90965196|Celf1|P	42	39	81	58
2:91041770-91042265|Rapsn|P	0	47	56	33
2:91042812-91043554|Rapsn|P	61	79	34	25
2:91044776-91045750|Rapsn|P	52	139	101	52
2:91054588-91055659|Psmc3|P	83	89	112	85
2:91068538-91069945|Slc39a13|P	113	156	141	139
2:91070830-91071520|Slc39a13|P	90	154	123	123
2:91078122-91079353|Spi1|P	133	165	106	180
2:91079691-91081173|Spi1|P	134	169	134	93
2:91081795-91082492|Spi1|P	62	39	73	51
2:91083285-91084235|Spi1|P	108	190	99	57
2:91084824-91088827|Spi1|P	370	607	463	390
2:91089070-91089913|Spi1|P	124	92	112	40
2:91090344-91090879|Spi1|P	42	52	41	39
2:91091993-91092684|Spi1|P	53	103	37	57
2:91093666-91094176|Spi1|P	41	68	50	16
2:91095427-91096507|Spi1|P	76	144	93	72
2:91099004-91099613|Spi1|P	40	65	36	37
2:91100379-91100694|Spi1|P	6	39	39	21
2:91100913-91101433|Spi1|P	58	43	28	56
2:91113321-91113787|Mybpc3|P	66	38	27	52
2:91115280-91115627|Mybpc3|P	22	47	33	32
2:91135799-91139615|Madd|P	383	628	431	338
2:91181747-91182310|Madd|P	59	80	77	31
2:91183876-91184741|Madd|P	42	88	74	62
2:91194572-91195361|Nr1h3|P	78	95	81	80
2:91196314-91197325|Nr1h3|P	107	128	74	53
2:91203395-91206301|Acp2|P	260	326	225	183
2:91206620-91207563|Acp2|P	73	100	42	34
2:91207828-91208755|Acp2|P	115	108	62	62
2:91210533-91210882|Acp2|P	21	32	32	12
2:91236247-91236781|Ddb2|P	30	83	68	35
2:91255686-91256169|Pacsin3|P	22	76	50	55
2:91256538-91257893|Pacsin3|P	78	159	114	111
2:91264034-91264886|Arfgap2|P	121	84	70	100
2:91265741-91266341|Arfgap2|P	58	76	64	56
2:91328138-91328923|1110051M20Rik|P	83	89	42	98
2:91361065-91361451|1110051M20Rik|P	43	52	21	32
2:91457416-91458173|Lrp4|P	59	71	103	88
2:91458302-91458692|Lrp4|P	47	35	40	32
2:91459060-91459554|Lrp4|P	40	25	45	32
2:91476369-91477238|Lrp4|P	58	109	74	79
2:91485347-91485977|Lrp4|P	77	67	67	62
2:91498262-91498539|Lrp4|P	10	28	43	17
2:91537344-91538304|Ckap5|P	30	79	65	36
2:91635103-91636046|F2|P	31	135	90	49
2:91649088-91649564|Zfp408|P	53	97	94	44
2:91709443-91709796|Atg13|P	33	35	62	49
2:91711336-91711677|Harbi1|P	15	29	28	9
2:91725211-91725801|Ambra1|P	32	74	43	17
2:91726163-91727044|Ambra1|P	58	72	67	41
2:91738139-91738429|Ambra1|P	18	31	6	17
2:91743638-91744038|Ambra1|P	29	43	52	23
2:91913044-91914464|Mdk|P	79	116	108	60
2:91921412-91924140|Mdk|P	346	526	414	343
2:91927837-91928458|Mdk|P	74	100	97	35
2:91944367-91948444|Mir6999|P	504	781	559	633
2:91948628-91951088|Dgkz|P	401	609	467	412
2:91953480-91958433|Dgkz|P	474	743	534	450
2:91958729-91961512|Dgkz|P	195	319	251	211
2:91961559-91963346|Dgkz|P	166	263	180	161
2:91964599-91964908|Dgkz|P	37	30	17	12
2:91965577-91966231|Dgkz|P	39	23	67	46
2:91966396-91967323|Dgkz|P	98	175	88	66
2:91967923-91968436|Dgkz|P	75	92	59	47
2:91971001-91972599|Dgkz|P	200	253	155	186
2:91975502-91976470|Dgkz|P	139	250	207	169
2:91984180-91985536|Dgkz|P	107	158	118	29
2:91985827-91986709|Dgkz|P	64	101	56	40
2:92006937-92008084|Creb3l1|P	124	165	154	133
2:92023561-92024607|Creb3l1|P	98	118	117	80
2:92055770-92056381|Creb3l1|P	80	73	56	48
2:92058746-92059256|Phf21a|P	58	84	36	24
2:92059555-92060327|Phf21a|P	103	99	93	69
2:92066420-92066741|Phf21a|P	9	27	4	14
2:92185379-92185910|Phf21a|P	17	62	32	37
2:92206367-92206707|Mir1955|P	33	59	30	11
2:92253219-92253512|Phf21a|P	1	36	9	41
2:92254598-92255266|Phf21a|P	59	42	42	49
2:92255600-92256558|Phf21a|P	105	159	94	71
2:92256948-92257637|Phf21a|P	72	107	48	58
2:92258246-92260447|Phf21a|P	136	226	114	99
2:92265829-92266193|Phf21a|P	19	35	31	30
2:92272669-92273254|Phf21a|P	51	41	56	44
2:92285724-92286004|Phf21a|P	20	24	34	30
2:92370363-92371512|Large2|P	130	168	151	129
2:92375668-92376829|Pex16|P	154	154	91	101
2:92377226-92377517|Pex16|P	21	43	25	46
2:92388870-92389588|Mir7000|P	70	112	75	52
2:92392104-92393355|Mapk8ip1|P	89	125	121	146
2:92396949-92397548|Mapk8ip1|P	33	30	82	82
2:92422490-92423285|Cry2|P	33	70	91	60
2:92429473-92430018|Cry2|P	21	71	41	39
2:92455028-92455345|Slc35c1|P	16	38	50	17
2:92455657-92458274|Slc35c1|P	251	389	255	232
2:92458540-92459275|Slc35c1|P	144	171	118	65
2:92460137-92460783|Slc35c1|P	88	147	97	85
2:92481980-92482580|Slc35c1|P	50	37	19	41
2:92483952-92484575|Slc35c1|P	64	67	36	21
2:92485135-92485445|Slc35c1|P	19	30	32	20
2:92485678-92486493|Slc35c1|P	89	83	60	53
2:92494344-92495061|Slc35c1|P	27	101	63	57
2:92529035-92529565|Mir7221|P	52	56	38	23
2:92547100-92547650|Mir7221|P	20	42	54	18
2:92596621-92597571|Mir7222|P	37	61	69	40
2:92598808-92599409|Chst1|P	31	33	58	42
2:92599678-92601642|Chst1|P	122	205	160	131
2:92604620-92607333|Chst1|P	270	330	246	201
2:92607526-92609017|Chst1|P	123	191	127	146
2:92609352-92609916|Chst1|P	42	62	42	34
2:92650940-92651707|Chst1|P	66	132	33	25
2:92724478-92724885|Chst1|P	32	31	42	27
2:92725152-92727897|Chst1|P	292	415	246	208
2:92728294-92730121|Chst1|P	174	264	222	160
2:92914963-92915464|Syt13|P	63	83	37	26
2:92987842-92988810|Prdm11|P	159	131	104	126
2:93014188-93015884|Prdm11|P	174	312	245	166
2:93029253-93030654|4631405J19Rik|P	43	55	116	174
2:93040963-93041327|Prdm11|P	3	40	27	12
2:93046665-93047071|Prdm11|P	33	29	25	43
2:93126085-93127169|Trp53i11|P	109	133	95	55
2:93160827-93161996|Trp53i11|P	116	106	78	50
2:93162206-93163316|Trp53i11|P	89	170	109	67
2:93166204-93167747|Trp53i11|P	176	229	210	144
2:93180145-93180795|Trp53i11|P	27	104	79	86
2:93188068-93188809|Trp53i11|P	54	95	59	64
2:93192241-93193315|Trp53i11|P	160	173	110	111
2:93213952-93214915|Tspan18|P	97	151	125	112
2:93237832-93238945|Tspan18|P	76	78	67	45
2:93259474-93259859|Tspan18|P	26	29	18	20
2:93311274-93313117|Tspan18|P	131	235	181	127
2:93333707-93334239|Tspan18|P	32	36	69	62
2:93345602-93347354|Tspan18|P	100	210	74	122
2:93348147-93348592|Tspan18|P	60	48	23	40
2:93349837-93350397|Tspan18|P	49	95	19	42
2:93352399-93353545|Tspan18|P	87	165	106	68
2:93358177-93359115|Tspan18|P	56	70	99	55
2:93359948-93360662|Tspan18|P	76	112	38	44
2:93366901-93367466|Tspan18|P	45	55	43	28
2:93367594-93368599|Tspan18|P	113	91	80	100
2:93369461-93369946|Gm13807|P	45	56	46	29
2:93372123-93372841|Gm13807|P	38	67	65	43
2:93377906-93379197|Gm13807|P	67	137	70	70
2:93381013-93381693|Gm13807|P	4	41	50	0
2:93427328-93427728|Mir7001|P	18	43	36	9
2:93435610-93436447|Mir7001|P	71	70	66	13
2:93438297-93438704|Cd82|P	38	56	24	28
2:93444212-93444606|Cd82|P	29	41	32	27
2:93444941-93445291|Cd82|P	26	52	43	27
2:93447010-93452889|Gm10804|P	775	1249	836	704
2:93454450-93455468|Gm10804|P	101	115	95	86
2:93455835-93461764|Cd82|P	705	982	697	590
2:93462577-93463044|Cd82|P	54	55	50	67
2:93469959-93471293|Cd82|P	96	149	158	139
2:93598591-93600185|Alx4|P	117	196	95	147
2:93642518-93643774|Alx4|P	130	227	229	120
2:93646995-93647731|Alx4|P	48	113	53	62
2:93665931-93666393|Alx4|P	19	50	12	44
2:93744274-93744649|Ext2|P	20	13	34	36
2:93758090-93758689|Ext2|P	46	84	55	40
2:93802907-93803934|Ext2|P	79	102	54	42
2:93848569-93849249|Accs|P	52	56	68	42
2:93850375-93850924|Accs|P	37	50	25	23
2:93873882-93874956|Accsl|P	73	64	70	76
2:93902895-93904091|Accsl|P	155	192	101	133
2:93906363-93910259|Accsl|P	356	508	392	353
2:93910415-93911777|Accsl|P	125	227	134	73
2:93938344-93939144|Gm13889|P	71	97	64	47
2:93939331-93941750|Gm13889|P	208	323	199	148
2:93942038-93943130|Gm13889|P	96	204	100	66
2:93943496-93943958|Gm13889|P	41	36	61	16
2:93954871-93955717|Gm13889|P	99	151	107	125
2:93956940-93957632|Gm13889|P	20	61	79	41
2:93975591-93976381|Alkbh3os1|P	60	32	98	68
2:93976550-93977363|Alkbh3os1|P	29	88	54	92
2:94009804-94010249|Alkbh3|P	44	65	47	68
2:94010968-94011382|Alkbh3|P	14	38	40	14
2:94122638-94123073|Hsd17b12|P	41	20	8	41
2:94144725-94145006|Hsd17b12|P	22	32	10	36
2:94177692-94178735|Hsd17b12|P	58	42	35	56
2:94240248-94240791|Mir129b|P	41	57	23	52
2:94241169-94241722|Mir129b|P	59	61	69	22
2:94243165-94243658|Mir129-2|P	32	56	55	41
2:94252227-94252577|Mir670|P	26	49	28	8
2:94263421-94263847|Mir670|P	47	78	47	58
2:94264530-94265377|Mir670|P	57	42	61	39
2:94265832-94267431|Mir670|P	146	161	122	125
2:94273161-94274120|Mir670|P	90	208	100	93
2:94348479-94349614|Ttc17|P	87	46	49	44
2:94389237-94390011|Ttc17|P	42	35	44	59
2:94404884-94405242|Ttc17|P	43	30	27	30
2:94407203-94407618|Ttc17|P	11	51	39	26
2:94432252-94433096|Api5|P	56	94	30	25
2:94433557-94434199|Api5|P	61	50	29	25
2:94435505-94437057|Api5|P	119	177	124	162
2:97504721-97505181|Lrrc4c|P	8	49	9	38
2:9877393-9877743|Gata3|P	42	57	42	62
2:9877994-9878253|Gata3|P	34	40	21	16
2:9878533-9878985|Gata3|P	49	66	59	29
2:9879292-9879881|Gata3|P	29	67	26	43
2:9880954-9881872|4930412O13Rik|P	67	112	118	87
2:9882280-9883977|4930412O13Rik|P	156	190	169	134
2:9888892-9890205|Gata3|P	104	226	85	81
2:9926206-9926593|Taf3|P	37	21	46	15
2:9961858-9962231|Taf3|P	47	26	17	43
2:9965508-9965948|Taf3|P	25	22	39	6
2:9972683-9973156|Taf3|P	20	30	44	17
2:9990077-9990423|Taf3|P	41	57	34	15
3:10012791-10013453|Fabp5|P	33	102	51	108
3:100160553-100161770|Wdr3|P	140	129	100	87
3:100163614-100164027|Gdap2|P	23	41	37	22
3:100175435-100175940|Gdap2|P	52	56	45	29
3:100176575-100177084|Gdap2|P	42	49	33	28
3:10025121-10025763|Fabp5|P	34	52	28	35
3:100359277-100359601|4930406D18Rik|P	38	21	35	17
3:100394941-100395615|4930406D18Rik|P	41	48	51	30
3:100403751-100404249|4930406D18Rik|P	52	62	19	44
3:100409728-100410525|4930406D18Rik|P	56	61	46	68
3:100417080-100418018|4930406D18Rik|P	74	110	83	58
3:100418250-100419261|4930406D18Rik|P	123	163	88	67
3:100420114-100421053|4930406D18Rik|P	69	100	87	53
3:100421079-100422259|4930406D18Rik|P	117	81	56	64
3:100424815-100425191|4930406D18Rik|P	19	36	55	29
3:100426000-100427045|4930406D18Rik|P	47	137	56	68
3:100429046-100431418|4930406D18Rik|P	198	325	205	181
3:100432060-100432707|4930406D18Rik|P	53	114	88	46
3:100436056-100437778|4930406D18Rik|P	97	115	74	85
3:100438525-100440309|4930406D18Rik|P	140	156	174	145
3:100440596-100443334|4930406D18Rik|P	264	396	217	207
3:100451919-100452748|4930406D18Rik|P	77	85	75	60
3:100462273-100462948|Tent5c|P	75	37	66	26
3:100466816-100467333|Tent5c|P	21	40	22	0
3:100473273-100473699|Tent5c|P	42	67	44	31
3:100480838-100481474|Tent5c|P	35	37	44	26
3:100481992-100483277|Tent5c|P	41	141	34	72
3:100483907-100484293|Tent5c|P	37	42	35	16
3:100485356-100486513|Tent5c|P	42	115	88	63
3:100489752-100490322|Tent5c|P	64	40	60	22
3:100494777-100496097|Tent5c|P	77	99	45	62
3:100529965-100530819|Tent5c|P	89	97	57	53
3:100534524-100535759|Tent5c|P	83	147	87	67
3:100555371-100556238|Tent5c|P	53	103	86	45
3:100597663-100598043|Man1a2|P	38	11	32	33
3:100598599-100599160|Man1a2|P	21	62	38	43
3:100607929-100608164|Man1a2|P	19	25	26	25
3:100617500-100618334|Man1a2|P	54	109	43	21
3:100639159-100639704|Man1a2|P	50	28	45	69
3:100640066-100640345|Man1a2|P	15	33	14	13
3:100654836-100655305|Man1a2|P	68	82	38	20
3:100657357-100657938|Man1a2|P	13	66	27	17
3:100675171-100675581|Man1a2|P	21	45	40	33
3:100678962-100679797|Man1a2|P	85	45	55	49
3:100680033-100680715|Man1a2|P	72	102	60	105
3:100681546-100682113|Man1a2|P	57	89	43	40
3:100686112-100686982|Man1a2|P	32	107	56	37
3:100702779-100703292|Man1a2|P	29	59	51	49
3:10076720-10077235|Gm9833|P	16	42	30	12
3:100922851-100923488|Trim45|P	88	88	66	104
3:10092602-10093067|Gm9833|P	30	41	30	15
3:100993649-100994061|Ttf2|P	42	36	32	35
3:100994380-100995409|Ttf2|P	79	134	96	116
3:100995801-100996326|Cd101|P	29	50	30	45
3:100997336-100998230|Cd101|P	86	96	101	79
3:101002502-101003883|Cd101|P	162	231	189	147
3:101004054-101004561|Cd101|P	46	65	48	22
3:101006079-101007060|Cd101|P	68	78	42	29
3:101009791-101010741|Cd101|P	40	98	58	52
3:101011299-101013335|Cd101|P	220	260	169	164
3:101019945-101021276|Cd101|P	75	135	161	70
3:101029970-101030604|Cd101|P	29	65	72	20
3:101031044-101031425|Cd101|P	25	62	26	15
3:101058326-101059063|Ptgfrn|P	93	106	72	44
3:101059335-101059960|Ptgfrn|P	38	79	50	28
3:101060273-101060987|Ptgfrn|P	28	47	55	32
3:101072624-101073142|Ptgfrn|P	6	64	35	5
3:101109376-101109871|Ptgfrn|P	27	47	50	65
3:101110148-101110855|Ptgfrn|P	16	76	60	20
3:101293910-101294199|Cd2|P	26	40	15	13
3:101300094-101300992|Cd2|P	50	99	58	79
3:101376790-101378122|Igsf3|P	52	230	114	93
3:101594744-101597010|Atp1a1|P	206	303	217	150
3:101597293-101599483|Atp1a1|P	182	242	214	167
3:101599640-101600322|Atp1a1|P	67	86	78	49
3:101600565-101601533|Atp1a1|P	58	110	53	55
3:101603127-101603701|Atp1a1|P	51	42	61	35
3:101800355-101800977|Mab21l3|P	65	44	81	52
3:101836108-101836630|Mab21l3|P	38	64	19	26
3:101923764-101924198|Slc22a15|P	43	48	75	24
3:102011473-102011926|Nhlh2|P	18	50	38	26
3:102192685-102195965|Vangl1|P	262	421	288	219
3:102203545-102205438|Vangl1|P	106	149	133	123
3:102714133-102715085|Tspan2|P	46	98	70	49
3:102715758-102716112|Tspan2|P	39	60	37	37
3:102724050-102724570|Tspan2|P	44	60	12	24
3:102734337-102735045|Tspan2|P	48	115	67	61
3:102738176-102738847|Tspan2os|P	71	50	48	31
3:10288404-10288935|Fabp12|P	44	63	40	38
3:10291515-10292438|Fabp12|P	62	95	27	49
3:10292777-10293201|Fabp12|P	33	41	54	34
3:103018417-103018714|Csde1|P	14	35	32	28
3:103101918-103102199|Dennd2c|P	14	46	38	33
3:103110340-103110954|Dennd2c|P	47	72	46	29
3:103111627-103111945|Dennd2c|P	13	41	29	6
3:103112146-103112465|Dennd2c|P	44	42	36	11
3:103121755-103122189|Dennd2c|P	2	28	29	19
3:103122339-103122634|Dennd2c|P	10	37	11	34
3:103129328-103129738|Dennd2c|P	37	45	34	32
3:103131482-103131957|Dennd2c|P	42	72	23	26
3:103139169-103139494|Dennd2c|P	8	62	39	21
3:103140281-103141851|Dennd2c|P	80	144	109	112
3:103206911-103207314|Bcas2|P	31	40	22	5
3:103207471-103207942|Bcas2|P	26	44	36	15
3:103212992-103213570|Bcas2|P	17	43	30	51
3:103278724-103279023|Trim33|P	31	42	31	14
3:10327882-10328268|Impa1|P	0	44	16	30
3:103280432-103281296|Trim33|P	17	76	82	100
3:10329804-10330480|Impa1|P	67	73	48	63
3:103377758-103378156|Trim33|P	38	42	16	24
3:103393097-103394517|Trim33|P	135	171	98	114
3:103398625-103399019|Trim33|P	27	44	30	17
3:103400749-103401929|Trim33|P	89	153	125	82
3:103402188-103402618|Trim33|P	31	60	51	41
3:103402822-103403893|Trim33|P	101	121	89	74
3:103404222-103404591|Trim33|P	21	41	38	31
3:103406108-103406545|Trim33|P	14	76	43	33
3:103406901-103407441|Trim33|P	25	78	35	6
3:103415077-103416843|Trim33|P	100	184	88	81
3:103417483-103417998|Trim33|P	41	81	33	30
3:103419064-103419530|Trim33|P	44	39	20	22
3:103419753-103421847|Trim33|P	184	290	134	140
3:103423491-103424614|Trim33|P	49	142	69	82
3:103425646-103426566|Trim33|P	100	142	95	83
3:103432827-103433548|Trim33|P	39	86	64	27
3:103442597-103443508|Trim33|P	28	79	52	40
3:103498608-103499131|Syt6|P	46	67	70	30
3:103499818-103500567|Syt6|P	59	89	68	51
3:103575090-103576968|Syt6|P	199	331	268	243
3:103647603-103648268|Syt6|P	29	65	52	29
3:10366768-10367250|Chmp4c|P	40	85	43	53
3:103707085-103707750|Olfml3|P	39	41	22	19
3:103714886-103715611|Olfml3|P	45	71	70	44
3:103716231-103716591|Olfml3|P	44	27	37	41
3:103716815-103717786|Olfml3|P	96	111	72	63
3:103727940-103728648|Olfml3|P	61	91	50	22
3:103729418-103730340|Olfml3|P	78	126	39	49
3:103731170-103731808|Olfml3|P	47	83	23	39
3:103732062-103733389|Olfml3|P	106	203	115	67
3:103733672-103735657|Olfml3|P	238	317	250	243
3:103735869-103736566|Olfml3|P	31	87	61	22
3:103772598-103774510|Hipk1|P	185	206	121	111
3:103777625-103780748|Hipk1|P	257	297	224	234
3:103782707-103783043|Hipk1|P	33	21	34	44
3:103783445-103783948|Hipk1|P	37	38	32	26
